sample,location,date,celltype,conc
22,Confital_1,2022-07-28T00:00:00Z,hna,201090.6799
22,Confital_1,2022-07-28T00:00:00Z,lna,95267.32619
23,Confital_1,2022-08-25T00:00:00Z,nanoeuka,36.52041963
23,Confital_1,2022-08-25T00:00:00Z,picoeuka,1974.379085
23,Confital_1,2022-08-25T00:00:00Z,prochloro,34919.73856
23,Confital_1,2022-08-25T00:00:00Z,synecho,7504.313725
23,Confital_1,2022-08-25T00:00:00Z,hna,148975.3876
23,Confital_1,2022-08-25T00:00:00Z,lna,82294.26434
24,Confital_1,2022-10-10T00:00:00Z,nanoeuka,553.6213069
24,Confital_1,2022-10-10T00:00:00Z,picoeuka,1912.269333
24,Confital_1,2022-10-10T00:00:00Z,prochloro,13392.96781
24,Confital_1,2022-10-10T00:00:00Z,synecho,5573.91098
24,Confital_1,2022-10-10T00:00:00Z,hna,187452.4276
24,Confital_1,2022-10-10T00:00:00Z,lna,42555.64525
25,Confital_1,2022-11-10T00:00:00Z,nanoeuka,447.2147295
25,Confital_1,2022-11-10T00:00:00Z,picoeuka,4738.178457
25,Confital_1,2022-11-10T00:00:00Z,prochloro,38620.75804
25,Confital_1,2022-11-10T00:00:00Z,synecho,6267.993923
25,Confital_1,2022-11-10T00:00:00Z,hna,170903.8972
25,Confital_1,2022-11-10T00:00:00Z,lna,149147.4043
26,Confital_1,2023-01-24T00:00:00Z,nanoeuka,172.5752204
26,Confital_1,2023-01-24T00:00:00Z,picoeuka,2288.432839
26,Confital_1,2023-01-24T00:00:00Z,prochloro,3742.76399
26,Confital_1,2023-01-24T00:00:00Z,synecho,14129.8252
26,Confital_1,2023-01-24T00:00:00Z,hna,73590.12801
26,Confital_1,2023-01-24T00:00:00Z,lna,59404.91293
27,Confital_1,2023-02-22T00:00:00Z,nanoeuka,206.4067982
27,Confital_1,2023-02-22T00:00:00Z,picoeuka,2659.144701
27,Confital_1,2023-02-22T00:00:00Z,prochloro,9431.765254
27,Confital_1,2023-02-22T00:00:00Z,synecho,2787.468038
27,Confital_1,2023-02-22T00:00:00Z,hna,162471.1218
27,Confital_1,2023-02-22T00:00:00Z,lna,95935.655
28,Confital_1,2023-03-30T00:00:00Z,nanoeuka,491.9140753
28,Confital_1,2023-03-30T00:00:00Z,picoeuka,3057.22256
28,Confital_1,2023-03-30T00:00:00Z,prochloro,8229.796082
28,Confital_1,2023-03-30T00:00:00Z,synecho,10028.61643
28,Confital_1,2023-03-30T00:00:00Z,hna,163787.3371
28,Confital_1,2023-03-30T00:00:00Z,lna,135624.4954
29,Confital_1,2023-04-30T00:00:00Z,nanoeuka,NA
29,Confital_1,2023-04-30T00:00:00Z,picoeuka,NA
29,Confital_1,2023-04-30T00:00:00Z,prochloro,NA
29,Confital_1,2023-04-30T00:00:00Z,synecho,NA
29,Confital_1,2023-04-30T00:00:00Z,hna,NA
29,Confital_1,2023-04-30T00:00:00Z,lna,NA
30,Confital_2,2020-04-28T00:00:00Z,nanoeuka,902.9546612
30,Confital_2,2020-04-28T00:00:00Z,picoeuka,11942.35589
30,Confital_2,2020-04-28T00:00:00Z,prochloro,9342.105263
30,Confital_2,2020-04-28T00:00:00Z,synecho,11810.77694
30,Confital_2,2020-04-28T00:00:00Z,hna,247879.1209
30,Confital_2,2020-04-28T00:00:00Z,lna,222824.1758
31,Confital_2,2020-05-26T00:00:00Z,nanoeuka,507.8053818
31,Confital_2,2020-05-26T00:00:00Z,picoeuka,2877.739331
31,Confital_2,2020-05-26T00:00:00Z,prochloro,10098.03922
31,Confital_2,2020-05-26T00:00:00Z,synecho,4682.814302
31,Confital_2,2020-05-26T00:00:00Z,hna,157161.2903
31,Confital_2,2020-05-26T00:00:00Z,lna,92516.12903
32,Confital_2,2020-07-06T00:00:00Z,nanoeuka,501.1113356
32,Confital_2,2020-07-06T00:00:00Z,picoeuka,2725.490196
32,Confital_2,2020-07-06T00:00:00Z,prochloro,23300.65359
32,Confital_2,2020-07-06T00:00:00Z,synecho,9862.745098
32,Confital_2,2020-07-06T00:00:00Z,hna,215000
32,Confital_2,2020-07-06T00:00:00Z,lna,126608.6957
33,Confital_2,2020-08-10T00:00:00Z,nanoeuka,426.2492474
33,Confital_2,2020-08-10T00:00:00Z,picoeuka,2261.904762
33,Confital_2,2020-08-10T00:00:00Z,prochloro,44837.09273
33,Confital_2,2020-08-10T00:00:00Z,synecho,28916.0401
33,Confital_2,2020-08-10T00:00:00Z,hna,211153.8462
33,Confital_2,2020-08-10T00:00:00Z,lna,187252.7473
34,Confital_2,2020-08-31T00:00:00Z,nanoeuka,381.8531107
34,Confital_2,2020-08-31T00:00:00Z,picoeuka,3126.061121
34,Confital_2,2020-08-31T00:00:00Z,prochloro,59471.56197
34,Confital_2,2020-08-31T00:00:00Z,synecho,13140.91681
34,Confital_2,2020-08-31T00:00:00Z,hna,410819.398
34,Confital_2,2020-08-31T00:00:00Z,lna,157525.0836
35,Confital_2,2020-10-05T00:00:00Z,nanoeuka,556.1154918
35,Confital_2,2020-10-05T00:00:00Z,picoeuka,3247.028862
35,Confital_2,2020-10-05T00:00:00Z,prochloro,35118.8455
35,Confital_2,2020-10-05T00:00:00Z,synecho,5870.118846
35,Confital_2,2020-10-05T00:00:00Z,hna,422333.0516
35,Confital_2,2020-10-05T00:00:00Z,lna,120608.6221
36,Confital_2,2020-11-02T00:00:00Z,nanoeuka,1034.50345
36,Confital_2,2020-11-02T00:00:00Z,picoeuka,5457.393484
36,Confital_2,2020-11-02T00:00:00Z,prochloro,30726.81704
36,Confital_2,2020-11-02T00:00:00Z,synecho,4849.62406
36,Confital_2,2020-11-02T00:00:00Z,hna,340973.3124
36,Confital_2,2020-11-02T00:00:00Z,lna,82747.25275
37,Confital_2,2020-12-01T00:00:00Z,nanoeuka,273.4267235
37,Confital_2,2020-12-01T00:00:00Z,picoeuka,4219.829878
37,Confital_2,2020-12-01T00:00:00Z,prochloro,49388.62307
37,Confital_2,2020-12-01T00:00:00Z,synecho,4578.681552
37,Confital_2,2020-12-01T00:00:00Z,hna,191062.2711
37,Confital_2,2020-12-01T00:00:00Z,lna,141831.5018
38,Confital_2,2021-01-18T00:00:00Z,nanoeuka,230.8045374
38,Confital_2,2021-01-18T00:00:00Z,picoeuka,2763.157895
38,Confital_2,2021-01-18T00:00:00Z,prochloro,17907.89474
38,Confital_2,2021-01-18T00:00:00Z,synecho,4671.052632
38,Confital_2,2021-01-18T00:00:00Z,hna,137201.087
38,Confital_2,2021-01-18T00:00:00Z,lna,115353.2609
39,Confital_2,2021-03-02T00:00:00Z,nanoeuka,628.4759458
39,Confital_2,2021-03-02T00:00:00Z,picoeuka,3896.98199
39,Confital_2,2021-03-02T00:00:00Z,prochloro,4345.688119
39,Confital_2,2021-03-02T00:00:00Z,synecho,4517.794579
39,Confital_2,2021-03-02T00:00:00Z,hna,134794.2339
39,Confital_2,2021-03-02T00:00:00Z,lna,135735.8754
40,Confital_2,2021-04-14T00:00:00Z,nanoeuka,667.0581523
40,Confital_2,2021-04-14T00:00:00Z,picoeuka,1959.258412
40,Confital_2,2021-04-14T00:00:00Z,prochloro,9900.053407
40,Confital_2,2021-04-14T00:00:00Z,synecho,10498.20706
40,Confital_2,2021-04-14T00:00:00Z,hna,247469.1076
40,Confital_2,2021-04-14T00:00:00Z,lna,109784.897
41,Confital_2,2021-05-12T00:00:00Z,nanoeuka,309.4026742
41,Confital_2,2021-05-12T00:00:00Z,picoeuka,4961.371318
41,Confital_2,2021-05-12T00:00:00Z,prochloro,15318.68662
41,Confital_2,2021-05-12T00:00:00Z,synecho,3241.187832
41,Confital_2,2021-05-12T00:00:00Z,hna,181181.5466
41,Confital_2,2021-05-12T00:00:00Z,lna,105741.7856
42,Confital_2,2021-06-28T00:00:00Z,nanoeuka,609.4777417
42,Confital_2,2021-06-28T00:00:00Z,picoeuka,3581.756589
42,Confital_2,2021-06-28T00:00:00Z,prochloro,42107.32876
42,Confital_2,2021-06-28T00:00:00Z,synecho,7423.779228
42,Confital_2,2021-06-28T00:00:00Z,hna,301211.8635
42,Confital_2,2021-06-28T00:00:00Z,lna,164175.6139
43,La_Puntilla,2020-04-28T00:00:00Z,nanoeuka,741.3048997
43,La_Puntilla,2020-04-28T00:00:00Z,picoeuka,6372.180451
43,La_Puntilla,2020-04-28T00:00:00Z,prochloro,4003.759398
43,La_Puntilla,2020-04-28T00:00:00Z,synecho,5275.689223
43,La_Puntilla,2020-04-28T00:00:00Z,hna,176152.1739
43,La_Puntilla,2020-04-28T00:00:00Z,lna,153815.2174
44,La_Puntilla,2020-05-26T00:00:00Z,nanoeuka,796.9385896
44,La_Puntilla,2020-05-26T00:00:00Z,picoeuka,449.941566
44,La_Puntilla,2020-05-26T00:00:00Z,prochloro,25722.63342
44,La_Puntilla,2020-05-26T00:00:00Z,synecho,22064.66693
44,La_Puntilla,2020-05-26T00:00:00Z,hna,437450.5495
44,La_Puntilla,2020-05-26T00:00:00Z,lna,144087.9121
45,La_Puntilla,2020-07-06T00:00:00Z,nanoeuka,763.7906648
45,La_Puntilla,2020-07-06T00:00:00Z,picoeuka,6000
45,La_Puntilla,2020-07-06T00:00:00Z,prochloro,35758.16993
45,La_Puntilla,2020-07-06T00:00:00Z,synecho,23058.82353
45,La_Puntilla,2020-07-06T00:00:00Z,hna,516571.4286
45,La_Puntilla,2020-07-06T00:00:00Z,lna,167912.0879
46,La_Puntilla,2020-08-10T00:00:00Z,nanoeuka,435.8819988
46,La_Puntilla,2020-08-10T00:00:00Z,picoeuka,2901.002506
46,La_Puntilla,2020-08-10T00:00:00Z,prochloro,28314.53634
46,La_Puntilla,2020-08-10T00:00:00Z,synecho,27606.51629
46,La_Puntilla,2020-08-10T00:00:00Z,hna,568549.4505
46,La_Puntilla,2020-08-10T00:00:00Z,lna,157648.3516
47,La_Puntilla,2020-08-31T00:00:00Z,nanoeuka,716.4179104
47,La_Puntilla,2020-08-31T00:00:00Z,picoeuka,4081.06961
47,La_Puntilla,2020-08-31T00:00:00Z,prochloro,52347.19864
47,La_Puntilla,2020-08-31T00:00:00Z,synecho,17896.85908
47,La_Puntilla,2020-08-31T00:00:00Z,hna,853085.3762
47,La_Puntilla,2020-08-31T00:00:00Z,lna,203736.2637
48,La_Puntilla,2020-10-05T00:00:00Z,nanoeuka,795.8916604
48,La_Puntilla,2020-10-05T00:00:00Z,picoeuka,4405.772496
48,La_Puntilla,2020-10-05T00:00:00Z,prochloro,57128.60781
48,La_Puntilla,2020-10-05T00:00:00Z,synecho,14223.25976
48,La_Puntilla,2020-10-05T00:00:00Z,hna,660760.7777
48,La_Puntilla,2020-10-05T00:00:00Z,lna,186796.2806
49,La_Puntilla,2020-11-02T00:00:00Z,nanoeuka,1044.10441
49,La_Puntilla,2020-11-02T00:00:00Z,picoeuka,8148.148148
49,La_Puntilla,2020-11-02T00:00:00Z,prochloro,54640.52288
49,La_Puntilla,2020-11-02T00:00:00Z,synecho,9299.719888
49,La_Puntilla,2020-11-02T00:00:00Z,hna,331583.8509
49,La_Puntilla,2020-11-02T00:00:00Z,lna,150931.677
50,La_Puntilla,2020-12-01T00:00:00Z,nanoeuka,434.0495969
50,La_Puntilla,2020-12-01T00:00:00Z,picoeuka,3674.906964
50,La_Puntilla,2020-12-01T00:00:00Z,prochloro,46723.81712
50,La_Puntilla,2020-12-01T00:00:00Z,synecho,5190.05848
50,La_Puntilla,2020-12-01T00:00:00Z,hna,177435.8974
50,La_Puntilla,2020-12-01T00:00:00Z,lna,105172.1612
51,La_Puntilla,2021-01-18T00:00:00Z,nanoeuka,986.7988246
51,La_Puntilla,2021-01-18T00:00:00Z,picoeuka,6489.795918
51,La_Puntilla,2021-01-18T00:00:00Z,prochloro,43469.38776
51,La_Puntilla,2021-01-18T00:00:00Z,synecho,37857.14286
51,La_Puntilla,2021-01-18T00:00:00Z,hna,221991.7582
51,La_Puntilla,2021-01-18T00:00:00Z,lna,147486.2637
52,La_Puntilla,2021-03-02T00:00:00Z,nanoeuka,845.4497843
52,La_Puntilla,2021-03-02T00:00:00Z,picoeuka,10271.06767
52,La_Puntilla,2021-03-02T00:00:00Z,prochloro,7050.218206
52,La_Puntilla,2021-03-02T00:00:00Z,synecho,11322.14641
52,La_Puntilla,2021-03-02T00:00:00Z,hna,238808.2506
52,La_Puntilla,2021-03-02T00:00:00Z,lna,301004.8775
53,La_Puntilla,2021-04-14T00:00:00Z,nanoeuka,601.8569796
53,La_Puntilla,2021-04-14T00:00:00Z,picoeuka,4180.972
53,La_Puntilla,2021-04-14T00:00:00Z,prochloro,11291.6762
53,La_Puntilla,2021-04-14T00:00:00Z,synecho,10852.21637
53,La_Puntilla,2021-04-14T00:00:00Z,hna,314498.8558
53,La_Puntilla,2021-04-14T00:00:00Z,lna,87075.51487
54,La_Puntilla,2021-05-12T00:00:00Z,nanoeuka,730.8885395
54,La_Puntilla,2021-05-12T00:00:00Z,picoeuka,8510.381458
54,La_Puntilla,2021-05-12T00:00:00Z,prochloro,18469.33848
54,La_Puntilla,2021-05-12T00:00:00Z,synecho,7592.950266
54,La_Puntilla,2021-05-12T00:00:00Z,hna,366747.7561
54,La_Puntilla,2021-05-12T00:00:00Z,lna,166898.7501
55,La_Puntilla,2021-06-28T00:00:00Z,nanoeuka,384.5514322
55,La_Puntilla,2021-06-28T00:00:00Z,picoeuka,6113.214517
55,La_Puntilla,2021-06-28T00:00:00Z,prochloro,36069.81254
55,La_Puntilla,2021-06-28T00:00:00Z,synecho,10792.00911
55,La_Puntilla,2021-06-28T00:00:00Z,hna,927101.7491
55,La_Puntilla,2021-06-28T00:00:00Z,lna,147338.7248
56,Hotel_Cristina,2020-04-28T00:00:00Z,nanoeuka,705.5527254
56,Hotel_Cristina,2020-04-28T00:00:00Z,picoeuka,8341.114223
56,Hotel_Cristina,2020-04-28T00:00:00Z,prochloro,6455.026455
56,Hotel_Cristina,2020-04-28T00:00:00Z,synecho,7370.059135
56,Hotel_Cristina,2020-04-28T00:00:00Z,hna,232562.5
56,Hotel_Cristina,2020-04-28T00:00:00Z,lna,195562.5
57,Hotel_Cristina,2020-05-26T00:00:00Z,nanoeuka,772.6416813
57,Hotel_Cristina,2020-05-26T00:00:00Z,picoeuka,5265.092879
57,Hotel_Cristina,2020-05-26T00:00:00Z,prochloro,19620.74303
57,Hotel_Cristina,2020-05-26T00:00:00Z,synecho,14181.50155
57,Hotel_Cristina,2020-05-26T00:00:00Z,hna,373304.3478
57,Hotel_Cristina,2020-05-26T00:00:00Z,lna,146043.4783
58,Hotel_Cristina,2020-07-06T00:00:00Z,nanoeuka,1012.999259
58,Hotel_Cristina,2020-07-06T00:00:00Z,picoeuka,7098.684211
58,Hotel_Cristina,2020-07-06T00:00:00Z,prochloro,36118.42105
58,Hotel_Cristina,2020-07-06T00:00:00Z,synecho,26447.36842
58,Hotel_Cristina,2020-07-06T00:00:00Z,hna,539868.1319
58,Hotel_Cristina,2020-07-06T00:00:00Z,lna,217494.5055
59,Hotel_Cristina,2020-08-10T00:00:00Z,nanoeuka,579.6579658
59,Hotel_Cristina,2020-08-10T00:00:00Z,picoeuka,3274.198568
59,Hotel_Cristina,2020-08-10T00:00:00Z,prochloro,37124.18301
59,Hotel_Cristina,2020-08-10T00:00:00Z,synecho,28011.20448
59,Hotel_Cristina,2020-08-10T00:00:00Z,hna,378684.7826
59,Hotel_Cristina,2020-08-10T00:00:00Z,lna,148989.1304
60,Hotel_Cristina,2020-08-31T00:00:00Z,nanoeuka,874.1721854
60,Hotel_Cristina,2020-08-31T00:00:00Z,picoeuka,5157.04584
60,Hotel_Cristina,2020-08-31T00:00:00Z,prochloro,83601.44312
60,Hotel_Cristina,2020-08-31T00:00:00Z,synecho,3794.567063
60,Hotel_Cristina,2020-08-31T00:00:00Z,hna,609129.3322
60,Hotel_Cristina,2020-08-31T00:00:00Z,lna,250194.421
61,Hotel_Cristina,2020-10-05T00:00:00Z,nanoeuka,914.2111816
61,Hotel_Cristina,2020-10-05T00:00:00Z,picoeuka,6169.354839
61,Hotel_Cristina,2020-10-05T00:00:00Z,prochloro,62718.59083
61,Hotel_Cristina,2020-10-05T00:00:00Z,synecho,13675.72156
61,Hotel_Cristina,2020-10-05T00:00:00Z,hna,603702.4514
61,Hotel_Cristina,2020-10-05T00:00:00Z,lna,234928.1488
62,Hotel_Cristina,2020-11-02T00:00:00Z,nanoeuka,993.6993699
62,Hotel_Cristina,2020-11-02T00:00:00Z,picoeuka,8527.568922
62,Hotel_Cristina,2020-11-02T00:00:00Z,prochloro,66165.41353
62,Hotel_Cristina,2020-11-02T00:00:00Z,synecho,11215.53885
62,Hotel_Cristina,2020-11-02T00:00:00Z,hna,286024.8447
62,Hotel_Cristina,2020-11-02T00:00:00Z,lna,177624.2236
63,Hotel_Cristina,2020-12-01T00:00:00Z,nanoeuka,419.4943924
63,Hotel_Cristina,2020-12-01T00:00:00Z,picoeuka,3721.424774
63,Hotel_Cristina,2020-12-01T00:00:00Z,prochloro,46384.90165
63,Hotel_Cristina,2020-12-01T00:00:00Z,synecho,5063.795853
63,Hotel_Cristina,2020-12-01T00:00:00Z,hna,242959.707
63,Hotel_Cristina,2020-12-01T00:00:00Z,lna,170168.4982
64,Hotel_Cristina,2021-01-18T00:00:00Z,nanoeuka,922.3279681
64,Hotel_Cristina,2021-01-18T00:00:00Z,picoeuka,4572.368421
64,Hotel_Cristina,2021-01-18T00:00:00Z,prochloro,37618.42105
64,Hotel_Cristina,2021-01-18T00:00:00Z,synecho,10322.36842
64,Hotel_Cristina,2021-01-18T00:00:00Z,hna,215951.087
64,Hotel_Cristina,2021-01-18T00:00:00Z,lna,173274.4565
65,Hotel_Cristina,2021-03-02T00:00:00Z,nanoeuka,1099.832905
65,Hotel_Cristina,2021-03-02T00:00:00Z,picoeuka,10301.5179
65,Hotel_Cristina,2021-03-02T00:00:00Z,prochloro,7492.575483
65,Hotel_Cristina,2021-03-02T00:00:00Z,synecho,13586.86685
65,Hotel_Cristina,2021-03-02T00:00:00Z,hna,359076.2179
65,Hotel_Cristina,2021-03-02T00:00:00Z,lna,202773.6969
66,Hotel_Cristina,2021-04-14T00:00:00Z,nanoeuka,996.0352299
66,Hotel_Cristina,2021-04-14T00:00:00Z,picoeuka,6911.734589
66,Hotel_Cristina,2021-04-14T00:00:00Z,prochloro,14714.31497
66,Hotel_Cristina,2021-04-14T00:00:00Z,synecho,21982.38788
66,Hotel_Cristina,2021-04-14T00:00:00Z,hna,508483.5165
66,Hotel_Cristina,2021-04-14T00:00:00Z,lna,136976.2869
67,Hotel_Cristina,2021-05-12T00:00:00Z,nanoeuka,587.624673
67,Hotel_Cristina,2021-05-12T00:00:00Z,picoeuka,10073.63592
67,Hotel_Cristina,2021-05-12T00:00:00Z,prochloro,18119.26606
67,Hotel_Cristina,2021-05-12T00:00:00Z,synecho,8220.666345
67,Hotel_Cristina,2021-05-12T00:00:00Z,hna,297894.4719
67,Hotel_Cristina,2021-05-12T00:00:00Z,lna,166294.7739
