key,date,site,nanoeukaryotes,picoeukaryotes,prochlorococcus,synechococcus,bacteria_hna,bacteria_lna,diatoms,dinoflagellates,silicoflagellates,protozoos,toc,tn,ton,nitrate,nitrite,silicate,phosphate,ammonium,chl_a,sst
20w48-2-CFS,2020-12-01T00:00:00Z,Confital_2,273.4267235,4219.829878,49388.62307,4578.681552,191062.2711,141831.5018,NA,NA,NA,NA,79.9,7.2,7,0.04,0.01,0.14,0.08,0.11,NA,21.7
21w03-2-CFS,2021-01-18T00:00:00Z,Confital_2,230.8045374,2763.157895,17907.89474,4671.052632,137201.087,115353.2609,NA,NA,NA,NA,78,9.9,9.8,0.03,0.01,0.12,0.06,0.11,NA,19.3
21w09-2-CFS,2021-03-02T00:00:00Z,Confital_2,628.4759458,3896.98199,4345.688119,4517.794579,134794.2339,135735.8754,NA,NA,NA,NA,NA,29.1,19.4,9.54,0.04,6.1,0.08,0.15,NA,19
21w15-2-CFS,2021-04-14T00:00:00Z,Confital_2,667.0581523,1959.258412,9900.053407,10498.20706,247469.1076,109784.897,NA,NA,NA,NA,NA,17.9,13.9,3.92,0.02,3.08,0.03,0.09,NA,20.3
21w19-2-CFS,2021-05-12T00:00:00Z,Confital_2,309.4026742,4961.371318,15318.68662,3241.187832,181181.5466,105741.7856,NA,NA,NA,NA,67.5,18,14.3,3.32,0.03,2.67,0.01,0.32,NA,20.3
21w26-2-CFS,2021-06-28T00:00:00Z,Confital_2,609.4777417,3581.756589,42107.32876,7423.779228,301211.8635,164175.6139,NA,NA,NA,NA,102.9,20.6,18,2.2,0.03,1.84,0.01,0.36,NA,20.9
20w17-3-PNT,2020-04-28T00:00:00Z,La_Puntilla,741.3048997,6372.180451,4003.759398,5275.689223,176152.1739,153815.2174,NA,NA,NA,NA,81.7,26.1,25,0.05,0.02,1.14,0.15,1.11,NA,20.3
20w21-3-PNT,2020-05-26T00:00:00Z,La_Puntilla,796.9385896,449.941566,25722.63342,22064.66693,437450.5495,144087.9121,NA,NA,NA,NA,116.1,9.3,8.7,0.01,0.01,0.78,0.05,0.55,NA,20.8
20w27-3-PNT,2020-07-06T00:00:00Z,La_Puntilla,763.7906648,6000,35758.16993,23058.82353,516571.4286,167912.0879,NA,NA,NA,NA,93.9,8.8,8.2,0.11,0.02,0.82,0.03,0.5,NA,21.5
20w32-3-PNT,2020-08-10T00:00:00Z,La_Puntilla,435.8819988,2901.002506,28314.53634,27606.51629,568549.4505,157648.3516,NA,NA,NA,NA,86,9.3,7.9,0.08,0.02,0.4,0.02,1.28,NA,22.4
20w35-3-PNT,2020-08-31T00:00:00Z,La_Puntilla,716.4179104,4081.06961,52347.19864,17896.85908,853085.3762,203736.2637,NA,NA,NA,NA,87.2,8.5,7.8,0.1,0.02,0.96,0.08,0.6,NA,23
20w40-3-PNT,2020-10-05T00:00:00Z,La_Puntilla,795.8916604,4405.772496,57128.60781,14223.25976,660760.7777,186796.2806,NA,NA,NA,NA,116.7,5.9,4.9,0.08,0.02,0.64,0.05,0.93,NA,23.3
20w44-3-PNT,2020-11-02T00:00:00Z,La_Puntilla,1044.10441,8148.148148,54640.52288,9299.719888,331583.8509,150931.677,NA,NA,NA,NA,57,6.5,5.6,0.18,0.05,0.88,0.05,0.71,NA,22.6
20w48-3-PNT,2020-12-01T00:00:00Z,La_Puntilla,434.0495969,3674.906964,46723.81712,5190.05848,177435.8974,105172.1612,NA,NA,NA,NA,69.3,7.2,6.4,0.25,0.03,1.74,0.14,0.53,NA,21.7
21w03-3-PNT,2021-01-18T00:00:00Z,La_Puntilla,986.7988246,6489.795918,43469.38776,37857.14286,221991.7582,147486.2637,NA,NA,NA,NA,69.1,8.1,7.7,0.06,0.01,0.5,0.04,0.38,NA,19.3
21w09-3-PNT,2021-03-02T00:00:00Z,La_Puntilla,845.4497843,10271.06767,7050.218206,11322.14641,238808.2506,301004.8775,NA,NA,NA,NA,NA,13.2,12.7,0.01,0.01,0.8,0.05,0.47,NA,19
21w15-3-PNT,2021-04-14T00:00:00Z,La_Puntilla,601.8569796,4180.972,11291.6762,10852.21637,314498.8558,87075.51487,NA,NA,NA,NA,NA,17.1,16.6,0.09,0.03,0.86,0.03,0.37,NA,20.3
21w19-3-PNT,2021-05-12T00:00:00Z,La_Puntilla,730.8885395,8510.381458,18469.33848,7592.950266,366747.7561,166898.7501,NA,NA,NA,NA,70.3,10.8,10.7,0.06,0.01,1.46,0.04,0.04,NA,20.3
21w26-3-PNT,2021-06-28T00:00:00Z,La_Puntilla,384.5514322,6113.214517,36069.81254,10792.00911,927101.7491,147338.7248,NA,NA,NA,NA,87.2,16.3,16,0.06,0.02,1.32,0.07,0.2,NA,20.9
20w17-4-HTC,2020-04-28T00:00:00Z,Hotel_Cristina,705.5527254,8341.114223,6455.026455,7370.059135,232562.5,195562.5,0.95,4.26,0,0.1,66.3,7.3,6.8,0.1,0.01,1.6,0.04,0.43,NA,20.3
